Month,Day,Hour,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity
1,27,3,-2.5,-3.6,91
1,27,4,-2.9,-4,91
1,27,5,-3,-4,92
1,27,6,-3,-3.9,93
1,27,7,-3,-4,92
1,27,8,-3,-6,77
1,27,9,-3,-7,71
1,27,10,-4,-7,77
1,27,11,-4,-7,77
1,27,12,-4,-7,77
1,27,13,-4,-8,71
1,27,14,-4,-8,71
1,27,15,-4,-8,71
1,27,16,-4,-8,71
1,27,17,-5,-9,71
1,27,18,-5,-9,71
1,27,19,-7,-10,77
1,27,20,-8,-11,77
1,27,21,-8,-11,77
1,27,22,-8,-11,77
1,27,23,-8,-12,70
1,27,24,-9,-12,77
1,28,1,-9,-12,77
1,28,2,-9,-12,77
1,28,3,-9,-12,77
1,28,4,-9,-12,77
1,28,5,-8,-10,84
1,28,6,-8,-10,84
1,28,7,-8,-10,84
1,28,8,-8,-11,77
1,28,9,-7,-10,77
1,28,10,-7,-10,77
1,28,11,-6,-9,77
1,28,12,-6,-9,77
1,28,13,-4,-8,71
1,28,14,-4,-8,71
1,28,15,-4,-7,77
1,28,16,-4,-7,77
1,28,17,-4,-7,77
1,28,18,-4,-7,77
1,28,19,-4,-7,77
1,28,20,-4,-7,77
1,28,21,-4,-8,71
1,28,22,-5,-8,77
1,28,23,-6,-8,84
1,28,24,-7,-8,92
1,29,1,-7,-8,92
1,29,2,-8,-9,92
1,29,3,-8,-10,84
1,29,4,-10,-11,91
1,29,5,-8,-9,92
1,29,6,-7,-8.4,89
1,29,7,-6,-8,84
1,29,8,-5,-6,92
1,29,9,-4,-6,84
1,29,10,-3,-4,92
1,29,11,-2,-3,92
1,29,12,-2,-2,100
1,29,13,-1,-1,100
1,29,14,1,-1,86
1,29,15,1,-2,79
1,29,16,1,-1,86
1,29,17,0,-2,85
1,29,18,0,-2,85
1,29,19,1,-2,79
1,29,20,1,-2,79
1,29,21,1,-2,79
1,29,22,1,-1,86
1,29,23,1,-1,86
1,29,24,1,0,93
1,30,1,1,0,93
1,30,2,1,0,93
1,30,3,1,0,93
1,30,4,0.8,0.3,96
1,30,5,1,1,100
1,30,6,1,1,100
1,30,7,2,1,93
1,30,8,1,1,100
1,30,9,2,2,100
1,30,10,2,2,100
1,30,11,3,3,100
1,30,12,3,3,100
1,30,13,6,3,81
1,30,14,6,2,75
1,30,15,5,2,81
1,30,16,6,3,81
1,30,17,5,3,87
1,30,18,5,3,87
1,30,19,4,3,93
1,30,20,3,3,100
1,30,21,3,3,100
1,30,22,2,1,93
1,30,23,1,0,93
1,30,24,1,0,93
1,31,1,1,0,93
1,31,2,1,0,93
1,31,3,0.5,-0.3,94
1,31,4,0.1,-0.4,96
1,31,5,0,0,100
1,31,6,1,0,93
1,31,7,1,0,93
1,31,8,1,0,93
1,31,9,1,0,93
1,31,10,1,0,93
1,31,11,2,0,87
1,31,12,2,-1,80
1,31,13,2,-2,73
1,31,14,2,-2,73
1,31,15,2,-3,67
1,31,16,2,-4,62
1,31,17,2,-4,62
1,31,18,2,-4,62
1,31,19,2,-3,67
1,31,20,2,-3,67
1,31,21,1,-2,79
1,31,22,0.7,-1.8,86
1,31,23,0.4,-1.6,86
1,31,24,0.1,-1.5,93
2,1,1,0,-1.3,100
2,1,2,-0.3,-1.2,100
2,1,3,-0.6,-1,100
2,1,4,-1,-1,100
2,1,5,-1,-1,100
2,1,6,-1,-1,100
2,1,7,-1.6,-1.6,100
2,1,8,-2,-2,100
2,1,9,-1.5,-1.5,100
2,1,10,-0.8,-0.8,100
2,1,11,0,0,100
2,1,12,0,-1,92
2,1,13,1,0,93
2,1,14,1,0,93
2,1,15,1,0,93
2,1,16,1,0,93
2,1,17,1,0,93
2,1,18,1,0,93
2,1,19,1,0,93
2,1,20,1,-1,86
2,1,21,0,-1,92
2,1,22,0,-1,92
2,1,23,0,-1,92
2,1,24,-1,-2,92
2,2,1,-1,-2,92
2,2,2,-1,-2,92
2,2,3,-1,-2,92
2,2,4,-1,-2,92
2,2,5,-1,-2,92
2,2,6,-1,-2,92
2,2,7,-1,-2,92
2,2,8,-1,-2,92
2,2,9,-1,-2,92
2,2,10,0,-2,85
2,2,11,0,-2,85
2,2,12,1,-2,79
2,2,13,1,-2,79
2,2,14,1,-2,79
2,2,15,1,-2,79
2,2,16,1,-2,79
2,2,17,1,-2,79
2,2,18,0,-3,78
2,2,19,-0.7,-3.1,82
2,2,20,-1,-3,85
2,2,21,-1,-3,85
2,2,22,-1,-3,85
2,2,23,-1,-3,85
2,2,24,-1,-3,85
2,3,1,-1,-3,85
2,3,2,-2,-4,85
2,3,3,-1,-3,85
2,3,4,-2,-3,92
2,3,5,-2,-4,85
2,3,6,-2,-3,92
2,3,7,-1,-3,85
2,3,8,-1,-3,85
2,3,9,-1,-3,85
2,3,10,0,-3,78
2,3,11,1,-2,79
2,3,12,1,-2,79
2,3,13,0,-1,92
2,3,14,-1,-1,100
2,3,15,-1,-1,100
2,3,16,0,0,100
2,3,17,0,0,100
2,3,18,1,1,100
2,3,19,1,1,100
2,3,20,1.5,1,96
2,3,21,2,1,93
2,3,22,4.1,3.2,94
2,3,23,5.9,5,94
2,3,24,8,7,93
2,4,1,8,7,93
2,4,2,7,3,76
2,4,3,2,-1,80
2,4,4,1,-1,86
2,4,5,1,-5,61
2,4,6,0,-2,85
2,4,7,-2,-3,92
2,4,8,-2,-4,85
2,4,9,-2,-5,78
2,4,10,-1,-5,71
2,4,11,-2,-4,85
2,4,12,-2,-6,71
2,4,13,-2,-6,71
2,4,14,-2,-6,71
2,4,15,-2,-7,65
2,4,16,-3,-6,77
2,4,17,-4,-7,77
2,4,18,-6,-8,84
2,4,19,-7,-8,92
2,4,20,-7,-9,84
2,4,21,-7,-9,84
2,4,22,-8,-11,77
2,4,23,-9,-14,64
2,4,24,-10,-15,64
2,5,1,-11,-15,70
2,5,2,-11,-14,76
2,5,3,-11,-14,76
2,5,4,-11,-14,76
2,5,5,-11,-13,84
2,5,6,-10,-14,70
2,5,7,-11,-13,84
2,5,8,-11,-14,76
2,5,9,-11,-13,84
2,5,10,-9,-14,64
2,5,11,-8,-14,58
2,5,12,-8,-14,58
2,5,13,-7,-14,54
2,5,14,-7,-14,54
2,5,15,-7,-13,59
2,5,16,-7,-13,59
2,5,17,-6.9,-12.9,59
2,5,18,-6.8,-12.4,61
2,5,19,-7.1,-12.3,63
2,5,20,-7,-12,64
2,5,21,-8,-13,64
2,5,22,-7.9,-12.6,66
2,5,23,-8.2,-12.7,67
2,5,24,-8.2,-12.6,68
2,6,1,-7.9,-12.3,68
2,6,2,-7.7,-12,68
2,6,3,-7.6,-11.8,69
2,6,4,-7.4,-11.6,69
2,6,5,-7.2,-11.4,69
2,6,6,-7.1,-11.2,70
2,6,7,-7,-11,70
2,6,8,-7,-10,77
2,6,9,-6,-10,70
2,6,10,-6,-9,77
2,6,11,-4,-8,71
2,6,12,-4,-8,71
2,6,13,-2.9,-8.1,64
2,6,14,-2,-8,60
2,6,15,-2,-7,65
2,6,16,-1,-6,66
2,6,17,-2,-6,71
2,6,18,-2,-6,71
2,6,19,-3,-4,92
2,6,20,-3,-5,84
2,6,21,-4,-8,71
2,6,22,-5,-8,77
2,6,23,-6,-7,92
2,6,24,-6,-9,77
2,7,1,-7,-8,92
2,7,2,-7,-12,64
2,7,3,-8,-11,77
2,7,4,-8,-11,77
2,7,5,-9,-12,77
2,7,6,-10,-12,84
2,7,7,-10.6,-11.6,91
2,7,8,-11,-11,100
2,7,9,-11,-12,91
2,7,10,-9,-12,77
2,7,11,-8,-11,77
2,7,12,-7,-12,64
2,7,13,-7,-13,59
2,7,14,-6,-13,54
2,7,15,-7,-9,84
2,7,16,-7,-9,84
2,7,17,-8,-10,84
2,7,18,-9,-12,77
2,7,19,-9,-13,70
2,7,20,-11,-14,76
2,7,21,-12,-14,83
2,7,22,-13,-15,83
2,7,23,-12,-15,76
2,7,24,-12,-14,83
2,8,1,-12,-14,83
2,8,2,-12,-16,69
2,8,3,-12,-16,69
2,8,4,-13,-17,69
2,8,5,-13,-17,69
2,8,6,-13,-18,63
2,8,7,-13,-18,63
2,8,8,-13,-18,63
2,8,9,-12,-18,57
2,8,10,-10,-16,58
2,8,11,-8,-15,53
2,8,12,-6,-13,54
2,8,13,-4,-12,50
2,8,14,-3,-10,55
2,8,15,-3,-11,50
2,8,16,-3,-9,60
2,8,17,-3,-9,60
2,8,18,-4,-8,71
2,8,19,-4,-8,71
2,8,20,-4,-7,77
2,8,21,-4,-7,77
2,8,22,-4,-7,77
2,8,23,-4,-7,77
2,8,24,-4,-6,84
2,9,1,-4,-6,84
2,9,2,-4,-6,84
2,9,3,-4,-6,84
2,9,4,-5,-7,84
2,9,5,-6,-8,84
2,9,6,-8,-11,77
2,9,7,-9,-13,70
2,9,8,-9,-12,77
2,9,9,-9,-12,77
2,9,10,-9,-12,77
2,9,11,-9,-14,64
2,9,12,-8,-16,49
2,9,13,-7,-17,41
2,9,14,-6,-17,37
2,9,15,-6,-17,37
2,9,16,-6,-16,41
2,9,17,-6,-16,41
2,9,18,-6,-16,41
2,9,19,-7,-16,45
2,9,20,-7,-17,41
2,9,21,-8,-17,44
2,9,22,-8,-16,49
2,9,23,-8,-16,49
2,9,24,-8,-17,44
2,10,1,-7,-16,45
2,10,2,-7,-15,49
2,10,3,-7,-11,70
2,10,4,-6,-11,64
2,10,5,-7,-10,77
2,10,6,-7,-9,84
2,10,7,-7,-8,92
2,10,8,-7,-7,100
2,10,9,-6,-6,100
2,10,10,-5,-6,92
2,10,11,-4,-6,84
2,10,12,-3,-6,77
2,10,13,-3,-5,84
2,10,14,-5,-7,84
2,10,15,-6,-8,84
2,10,16,-8,-11,77
2,10,17,-9,-11,84
2,10,18,-9,-13,70
2,10,19,-11,-13,84
2,10,20,-11,-14,76
2,10,21,-12,-20,48
2,10,22,-14,-22,47
2,10,23,-16,-21,62
2,10,24,-16,-21,62
2,11,1,-16,-22,56
2,11,2,-18,-21,75
2,11,3,-19,-22,75
2,11,4,-18,-19,91
2,11,5,-18,-21,75
2,11,6,-17,-20,75
2,11,7,-17,-21,68
2,11,8,-16,-19,75
2,11,9,-14,-19,63
2,11,10,-12,-17,63
2,11,11,-11,-16,63
2,11,12,-9,-16,53
2,11,13,-8,-16,49
2,11,14,-7,-17,41
2,11,15,-7,-17,41
2,11,16,-7,-17,41
2,11,17,-7,-15,49
2,11,18,-8,-13,64
2,11,19,-8,-12,70
