Month,Day,Rise,Set
7,5,0453,1934
7,6,0453,1934
7,7,0454,1934
7,8,0455,1933
7,9,0455,1933
7,10,0456,1932
7,11,0457,1932
7,12,0457,1932
7,13,0458,1931
7,14,0459,1931
7,15,0459,1930
7,16,0500,1930
7,17,0501,1929
7,18,0501,1928
7,19,0502,1928
7,20,0503,1927
7,21,0504,1926
7,22,0505,1926
7,23,0505,1925
7,24,0506,1924
7,25,0507,1923
7,26,0508,1923
7,27,0509,1922
7,28,0509,1921
7,29,0510,1920
7,30,0511,1919
7,31,0512,1918
8,1,0513,1917
8,2,0514,1916
8,3,0514,1915
8,4,0515,1914
8,5,0516,1913
8,6,0517,1912
8,7,0518,1911
8,8,0519,1910
8,9,0520,1908
8,10,0520,1907
8,11,0521,1906
8,12,0522,1905
8,13,0523,1904
8,14,0524,1902
8,15,0525,1901
8,16,0526,1900
8,17,0526,1859
8,18,0527,1857
8,19,0528,1856
8,20,0529,1855
8,21,0530,1853
8,22,0531,1852
8,23,0532,1851
8,24,0532,1849
8,25,0533,1848
8,26,0534,1846
8,27,0535,1845
8,28,0536,1843
8,29,0537,1842
8,30,0538,1841
8,31,0538,1839
9,1,0539,1838
9,2,0540,1836
9,3,0541,1835
9,4,0542,1833
9,5,0543,1832
9,6,0543,1830
9,7,0544,1828
9,8,0545,1827
9,9,0546,1825
9,10,0547,1824
9,11,0548,1822
9,12,0549,1821
9,13,0549,1819
9,14,0550,1818
9,15,0551,1816
9,16,0552,1815
9,17,0553,1813
9,18,0554,1811
9,19,0554,1810
9,20,0555,1808
9,21,0556,1807
9,22,0557,1805
9,23,0558,1804
9,24,0559,1802
9,25,0600,1801
9,26,0600,1759
9,27,0601,1757
9,28,0602,1756
9,29,0603,1754
9,30,0604,1753
9,31,,
10,1,0605,1751
10,2,0606,1750
10,3,0607,1748
10,4,0607,1747
10,5,0608,1745
10,6,0609,1744
10,7,0610,1742
10,8,0611,1741
10,9,0612,1739
10,10,0613,1738
10,11,0614,1737
10,12,0615,1735
10,13,0616,1734
10,14,0617,1732
10,15,0618,1731
10,16,0619,1730
10,17,0620,1728
10,18,0621,1727
10,19,0622,1725
10,20,0622,1724
10,21,0623,1723
10,22,0624,1722
10,23,0625,1720
10,24,0626,1719
10,25,0627,1718
10,26,0629,1717
10,27,0630,1715
10,28,0631,1714
10,29,0632,1713
10,30,0633,1712
10,31,0634,1711
11,1,0635,1710
11,2,0636,1709
11,3,0637,1708
11,4,0638,1707
11,5,0639,1706
11,6,0640,1705
11,7,0641,1704
11,8,0642,1703
11,9,0643,1702
11,10,0644,1701
11,11,0645,1700
11,12,0646,1659
11,13,0647,1659
11,14,0648,1658
11,15,0650,1657
11,16,0651,1657
11,17,0652,1656
11,18,0653,1655
11,19,0654,1655
11,20,0655,1654
11,21,0656,1654
11,22,0657,1653
11,23,0658,1653
11,24,0659,1652
11,25,0700,1652
11,26,0701,1651
11,27,0702,1651
11,28,0703,1651
11,29,0704,1651
11,30,0705,1650
11,31,,
12,1,0706,1650
12,2,0707,1650
12,3,0708,1650
12,4,0709,1650
12,5,0710,1650
12,6,0710,1650
12,7,0711,1650
12,8,0712,1650
12,9,0713,1650
12,10,0714,1650
12,11,0714,1650
12,12,0715,1650
12,13,0716,1651
12,14,0717,1651
12,15,0717,1651
12,16,0718,1652
12,17,0719,1652
12,18,0719,1652
12,19,0720,1653
12,20,0720,1653
12,21,0721,1654
12,22,0721,1654
12,23,0722,1655
12,24,0722,1655
12,25,0723,1656
12,26,0723,1657
12,27,0723,1657
12,28,0724,1658
12,29,0724,1659
12,30,0724,1659
12,31,0724,1700
